id,filename,title,date,year,featured,order,main,mainLabel,medium,mediumLabel,tags,aspectRatio,width,height,src,summary,description,materials,dimensions,location,body
pocket-heart-suni-2026-1796,pocket-heart-suni,愛心口袋屋-鼠尼,2026-04-30,2026,true,0,object,立體,3d,3D建模,,0.9403,1128,1200,pocket-heart-suni-2026-1796.webp,,,,,,
atta-2026-5688,atta,閣樓,2026-03-23,2026,false,0,object,立體,3d,3D建模,,0.8348,1002,1200,atta-2026-5688.webp,,,,,,
unicorn-icecream-2026-3954,unicorn-icecream,吃冰淇淋獨角獸機,2026-03-06,2026,false,0,object,立體,3d,3D建模,,7:9,896,1152,unicorn-icecream-2026-3954.webp,,,,,,
mehero-2024-3946,mehero,我是我的超人,2024-03-27,2024,false,0,flat,平面,painting,繪畫,,0.6778,813,1200,mehero-2024-3946.webp,,,壓克力、畫布,,,
wishofshootingstar-2024-5669,wishofshootingstar,流星的願望,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.8072,969,1200,wishofshootingstar-2024-5669.webp,,,油畫顏料、木板,32x41cm((6F),私人收藏,
windowsuni-2024-9497,windowsuni,窗邊的小贖鼠,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.6654,798,1200,windowsuni-2024-9497.webp,,,木板、油畫棒、壓克力,45X30,,"今天是什麼天氣呢？

似乎容易下意識的期待
如果是藍天白雲的話

我會特別雀躍於美好的今天到來"
wearealian-2024-0239,wearealian,外星同類,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.7998,960,1200,wearealian-2024-0239.webp,,,壓克力、木板,44X36,,"茫茫人海裡遇到你這個和我一樣的外星同類，是多幸運的一件事。

就算我們都跟大多數人不一樣而感到格格不入，終有一刻可以遇到同類的！"
the-house-of-no-time-2024-8255,the-house-of-no-time,精神時光屋,2024-01-01,2024,false,0,object,立體,sculpture,雕塑,,0.8853,1062,1200,the-house-of-no-time-2024-8255.webp,,,免燒陶土、壓克力顏料、樹脂土、光固化,,私人收藏,"躲在這裡，我擁有的時間和別人不一樣

留在這裡，我能夠築起夢想


我這麼相信著。"
onlyplace-2024-1047,onlyplace,避世小屋,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,1.1137,1200,1078,onlyplace-2024-1047.webp,,,壓克力、木板,50X44,私人收藏,"回到自己的辟世小屋裡頭。
是個在靈魂世界堆砌好的一座堅固房間，
即便私密又充滿許許多多的自我提問，細看確實是豐盛的。
這沿路琢磨的美好和那些堆積成山的的總總理想，

在打開大門那一刻向你說聲「Mi casa su casa 歡迎來我家。」"
nemasdesuni-2024-6498,nemasdesuni,鼠尼小屋,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.7419,890,1200,nemasdesuni-2024-6498.webp,,,壓克力、畫布,31x41,,"相信的事物，重複的練習。

信仰的純粹也需要雕琢。

偶爾會不小心忘記原本相信著的原則，告訴自己做得到！
把它琢磨的閃閃發光吧！"
